"subjectID","activity","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyAccMag-mean()","tGravityAccMag-mean()","tBodyAccJerkMag-mean()","tBodyGyroMag-mean()","tBodyGyroJerkMag-mean()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-meanFreq()-X","fBodyAcc-meanFreq()-Y","fBodyAcc-meanFreq()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Y","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-meanFreq()-X","fBodyGyro-meanFreq()-Y","fBodyGyro-meanFreq()-Z","fBodyAccMag-mean()","fBodyAccMag-meanFreq()","fBodyBodyAccJerkMag-mean()","fBodyBodyAccJerkMag-meanFreq()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-meanFreq()","fBodyBodyGyroJerkMag-mean()","fBodyBodyGyroJerkMag-meanFreq()","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-std()","tGravityAccMag-std()","tBodyAccJerkMag-std()","tBodyGyroMag-std()","tBodyGyroJerkMag-std()","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-std()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-std()","fBodyBodyGyroJerkMag-std()"
1,"STANDING",0.221598,-0.040514,-0.113204,-0.248882,0.70555,0.445818,0.081087,0.003838,0.010834,-0.016553,-0.064486,0.148689,-0.107271,-0.041517,-0.07405,-0.841929,-0.841929,-0.954396,-0.87476,-0.963461,-0.939099,-0.867065,-0.882667,-0.158793,0.097535,0.089438,-0.957074,-0.922463,-0.948061,0.132419,0.024514,0.024388,-0.850249,-0.952191,-0.909303,-0.003547,-0.091529,0.010458,-0.861768,0.086409,-0.9333,0.266391,-0.86219,-0.139775,-0.942367,0.176486,-0.928056,-0.836827,-0.826061,-0.89683,-0.90772,-0.852366,-0.958482,-0.924149,-0.954855,-0.873544,-0.95109,-0.908285,-0.918609,-0.967907,-0.95779,-0.795145,-0.795145,-0.928246,-0.81901,-0.935841,-0.924437,-0.833626,-0.812892,-0.964161,-0.932218,-0.960587,-0.882296,-0.951232,-0.916583,-0.798301,-0.921804,-0.824319,-0.932661
1,"SITTING",0.261238,-0.001308,-0.104544,0.83151,0.204412,0.332044,0.077483,-0.000619,-0.003368,-0.04535,-0.091924,0.062931,-0.093679,-0.040212,-0.046703,-0.948537,-0.948537,-0.987364,-0.930892,-0.991976,-0.979641,-0.944085,-0.959185,-0.049514,0.075946,0.23883,-0.986597,-0.981579,-0.986053,0.256611,0.047544,0.092392,-0.976161,-0.975839,-0.951316,0.189153,0.063127,-0.029784,-0.947783,0.236655,-0.985262,0.351852,-0.958436,-0.000262,-0.989798,0.184776,-0.977229,-0.922619,-0.939586,-0.968457,-0.935517,-0.949041,-0.986431,-0.981372,-0.987911,-0.977211,-0.966474,-0.941426,-0.991732,-0.989518,-0.987936,-0.927078,-0.927078,-0.98412,-0.934532,-0.988309,-0.976412,-0.917275,-0.93447,-0.987493,-0.982514,-0.988339,-0.977904,-0.962345,-0.943918,-0.928445,-0.981606,-0.932198,-0.98705
1,"LAYING",0.278918,-0.016138,-0.110602,0.942952,-0.272984,0.013491,0.075377,0.007976,-0.003685,-0.023988,-0.059397,0.074801,-0.099609,-0.044063,-0.048951,-0.984278,-0.984278,-0.992368,-0.976494,-0.994967,-0.99525,-0.977071,-0.985297,0.086515,0.117479,0.244859,-0.994631,-0.985419,-0.990752,0.314183,0.039162,0.138581,-0.986387,-0.988984,-0.980773,-0.120293,-0.044719,0.100608,-0.985356,0.284555,-0.992542,0.42222,-0.984618,-0.028606,-0.994815,0.334499,-0.99576,-0.97319,-0.979776,-0.993763,-0.981226,-0.976324,-0.994605,-0.985649,-0.992251,-0.987192,-0.987734,-0.980646,-0.992945,-0.995138,-0.992108,-0.981943,-0.981943,-0.993096,-0.97869,-0.994733,-0.996028,-0.972293,-0.977937,-0.995074,-0.987018,-0.99235,-0.987497,-0.987108,-0.982345,-0.982314,-0.992536,-0.978466,-0.994671
1,"WALKING",0.277331,-0.017384,-0.111148,0.935223,-0.282165,-0.068103,0.074042,0.028272,-0.004168,-0.041831,-0.06953,0.084945,-0.089998,-0.039843,-0.046131,-0.136971,-0.136971,-0.141429,-0.16098,-0.298704,-0.202794,0.089713,-0.33156,-0.207548,0.113094,0.049727,-0.170547,-0.035226,-0.468999,-0.209262,-0.386237,-0.18553,-0.339032,-0.103059,-0.255941,0.014784,-0.065775,0.000773,-0.128623,0.190644,-0.057119,0.093822,-0.199253,0.268844,-0.319309,0.190663,-0.28374,0.114461,-0.260028,-0.97661,-0.971306,-0.947717,-0.113616,0.067003,-0.5027,-0.473535,-0.054608,-0.344267,-0.207422,-0.304469,-0.404255,-0.219689,-0.219689,-0.074472,-0.186978,-0.325325,-0.319135,0.05604,-0.279687,-0.133587,0.10674,-0.534713,-0.516692,-0.033508,-0.436562,-0.398033,-0.103492,-0.321018,-0.381602
1,"WALKING_DOWNSTAIRS",0.289188,-0.009919,-0.107566,0.931874,-0.26661,-0.06212,0.054155,0.02965,-0.010972,-0.035078,-0.090937,0.090085,-0.073959,-0.04399,-0.027046,0.027188,0.027188,-0.089447,-0.075741,-0.295464,0.038229,0.00155,-0.225574,-0.307395,0.06322,0.294323,-0.027664,-0.128667,-0.288335,-0.253164,-0.33759,0.009372,-0.35245,-0.055702,-0.031869,-0.100454,0.082551,-0.075676,0.096585,0.119187,0.026218,0.076492,-0.18572,0.349614,-0.281963,0.190001,0.030035,-0.031936,-0.230434,-0.95056,-0.937019,-0.89594,-0.012284,-0.101601,-0.345735,-0.458031,-0.126349,-0.124702,-0.487027,-0.238825,-0.268761,0.019884,0.019884,-0.025788,-0.225724,-0.306511,0.024331,-0.112964,-0.297928,-0.086328,-0.13458,-0.401721,-0.495422,-0.181415,-0.238444,-0.18653,-0.104052,-0.39835,-0.39192
1,"WALKING_UPSTAIRS",0.255462,-0.023953,-0.097302,0.893351,-0.362153,-0.075403,0.101373,0.019486,-0.045563,0.050549,-0.16617,0.05836,-0.122233,-0.042149,-0.040713,-0.129928,-0.129928,-0.466503,-0.126736,-0.594883,-0.404322,-0.190977,-0.43335,-0.418735,-0.160697,-0.520115,-0.479875,-0.413445,-0.685474,-0.377023,-0.509496,-0.551104,-0.492612,-0.319475,-0.453597,-0.18745,-0.473575,-0.133374,-0.352396,-0.097743,-0.442652,0.085352,-0.325961,-0.219303,-0.634665,0.114277,-0.354708,-0.00232,-0.019479,-0.956367,-0.952849,-0.912379,-0.446844,-0.378274,-0.706594,-0.544871,0.004105,-0.507169,-0.614787,-0.601697,-0.606332,-0.324971,-0.324971,-0.478992,-0.148619,-0.648553,-0.337428,0.02177,0.085957,-0.461907,-0.381777,-0.72604,-0.565892,0.151539,-0.571708,-0.41626,-0.53306,-0.182986,-0.693931
2,"STANDING",0.281373,-0.018159,-0.107246,-0.509754,0.752537,0.646835,0.082597,0.012255,-0.001803,-0.018477,-0.111801,0.144883,-0.101974,-0.035859,-0.070178,-0.977435,-0.977435,-0.987742,-0.950012,-0.991767,-0.976725,-0.979801,-0.984381,-0.146483,0.257289,0.402533,-0.985814,-0.982768,-0.986197,0.159808,0.121206,0.190558,-0.986431,-0.983322,-0.962672,0.102611,0.042281,0.055299,-0.97511,0.266298,-0.985374,0.341759,-0.972113,0.018564,-0.990249,0.264802,-0.974059,-0.980277,-0.984233,-0.959014,-0.988212,-0.98423,-0.985872,-0.983173,-0.988442,-0.988275,-0.982292,-0.960307,-0.993236,-0.989568,-0.988036,-0.972874,-0.972874,-0.985518,-0.961164,-0.989718,-0.973246,-0.981025,-0.984792,-0.98725,-0.984987,-0.989345,-0.988861,-0.981911,-0.963174,-0.975121,-0.984568,-0.961098,-0.989493
2,"SITTING",0.277087,-0.015688,-0.109218,0.940477,-0.10563,0.198727,0.072256,0.011695,0.007605,-0.045471,-0.059929,0.041228,-0.093633,-0.04156,-0.043585,-0.967894,-0.967894,-0.986775,-0.946035,-0.991081,-0.985804,-0.957343,-0.970162,0.085193,0.150194,0.096065,-0.987849,-0.97714,-0.985129,0.305547,0.026245,0.092903,-0.982621,-0.982101,-0.959815,0.130523,-0.192143,0.040947,-0.961274,0.130934,-0.983875,0.280062,-0.971841,-0.106359,-0.989862,0.194722,-0.986822,-0.950704,-0.959828,-0.979989,-0.95675,-0.954416,-0.988056,-0.977984,-0.987518,-0.985742,-0.97892,-0.959804,-0.989709,-0.99089,-0.985542,-0.953081,-0.953081,-0.984476,-0.961314,-0.989595,-0.987362,-0.950074,-0.956863,-0.989459,-0.980804,-0.988571,-0.986809,-0.977356,-0.963523,-0.955576,-0.984124,-0.961386,-0.989633
2,"LAYING",0.277911,-0.018421,-0.105909,0.896929,-0.370063,0.129747,0.074759,0.010329,-0.008372,-0.023862,-0.08204,0.087835,-0.105562,-0.042242,-0.054654,-0.965875,-0.965875,-0.980489,-0.963466,-0.983952,-0.983947,-0.959872,-0.962471,0.108519,0.062338,0.104462,-0.980973,-0.970851,-0.979775,0.331449,-0.056937,0.03965,-0.967037,-0.972576,-0.960628,-0.107416,-0.17116,0.000227,-0.964052,0.11965,-0.977065,0.304872,-0.961776,-0.066127,-0.97785,0.160663,-0.987272,-0.957305,-0.949742,-0.986686,-0.974194,-0.945927,-0.981086,-0.971059,-0.982841,-0.972999,-0.971442,-0.964857,-0.979324,-0.983447,-0.97361,-0.957875,-0.957875,-0.976675,-0.953943,-0.977204,-0.989056,-0.957909,-0.946434,-0.983008,-0.97352,-0.9846,-0.974988,-0.971036,-0.969754,-0.960519,-0.97516,-0.956789,-0.977754
2,"WALKING",0.276427,-0.018595,-0.1055,0.913017,-0.346607,0.084727,0.061808,0.018249,0.007895,-0.053026,-0.048238,0.082834,-0.081883,-0.05383,-0.051494,-0.290408,-0.290408,-0.281424,-0.446549,-0.547912,-0.346048,-0.021905,-0.453806,-0.145795,0.198586,0.0689,-0.304615,-0.078764,-0.554957,-0.07271,-0.263574,-0.254846,-0.429714,-0.554772,-0.39666,0.00728,-0.042701,0.139752,-0.324289,0.393206,-0.169064,0.207501,-0.530705,0.305284,-0.583249,0.126345,-0.423643,-0.078091,-0.425258,-0.972693,-0.972117,-0.972073,-0.27753,-0.016602,-0.58609,-0.56155,-0.538454,-0.481086,-0.38955,-0.63414,-0.435493,-0.422544,-0.422544,-0.164151,-0.55302,-0.557798,-0.457651,-0.16922,-0.455222,-0.314313,-0.015333,-0.615898,-0.604053,-0.533047,-0.559857,-0.577105,-0.164092,-0.651793,-0.558105
